ticker,company,score,tier,avg_dollar_vol_20d,price,vsSMA50,vsSMA200,RSI14,ATR%,r60,vol_vs20,drawdown%,tags,reason
SHIP,Seanergy Maritime,14.986426593244303,7.99,14.4,18.5,70,2.66,24.06,38.45,-31.73,small,919928.62,RS_trend_protect,below_cutoff
FL,Foot Locker,14.965544710763396,26.47,5.36,28.22,67,2.18,11.5,212.33,-19.32,small,121215523.71,breakout_protect;pullback_protect,below_cutoff
PIF.TO,Polaris Renewable Energy,14.942611143745264,12.8,5.77,7.45,63,1.71,7.2,46.18,-0.65,small,506112.01,pullback_protect,below_cutoff
TPR,Tapestry,14.931880430082307,100.98,1.47,29.41,40,2.95,28.88,-30.42,-11.05,large,532412018.7,RS_trend_protect,below_cutoff
KPT.TO,KP Tissue,14.911064742620887,9.55,4.07,16.18,57,1.08,9.3,-34.44,-1.44,small,253457.01,pullback_protect;stall_risk;setup_protect,below_cutoff
ETR,Entergy,14.892388289762184,89.55,4.33,10.45,48,1.49,8.7,-33.96,-1.61,large,221323728.04,pullback_protect;setup_protect,below_cutoff
ASC,Ardmore Shipping,14.88526164948848,11.58,10.76,10.23,66,2.92,20.5,-45.65,-36.81,small,6604884.56,RS_trend_protect;breakout_protect;pullback_protect;stall_risk,below_cutoff
NTST,NETSTREIT,14.884726629669448,18.35,2.79,17.21,44,1.72,13.83,22.11,-3.22,small,20738895.18,,below_cutoff
RYN,Rayonier,14.883210723013907,26.4,9.01,4.36,58,1.58,14.54,-7.33,-10.61,small,28923707.58,pullback_protect;stall_risk;setup_protect,below_cutoff
KEY.TO,Keyera,14.857692712938546,45.04,3.28,5.95,67,1.49,7.31,22.09,-1.74,small,50235139.82,pullback_protect,below_cutoff
MAIN,Main Street Capital,14.85418245064795,64.73,2.85,14.04,58,1.78,16.7,-24.6,-4.16,small,33335951.73,pullback_protect;stall_risk;setup_protect,below_cutoff
WDP.BR,Warehouses De Pauw,14.83583809352345,22.24,6.01,10.79,68,1.5,5.5,-41.16,-6.55,small,5449771.83,pullback_protect;stall_risk,below_cutoff
GUD.TO,Knight Therapeutics,14.830547081958906,6.49,5.67,12.47,55,1.55,11.9,99.01,-0.76,small,552753.28,pullback_protect,below_cutoff
BLDR,Builders FirstSource,14.827438346212261,141.76,9.67,2.7,60,3.76,28.64,-28.43,-29.76,large,336080342.18,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
RRGB,Red Robin Gourmet Burgers,14.810858758249301,6.48,6.33,29.61,65,7.12,7.64,-26.52,-12.9,small,2327356.81,pullback_protect;stall_risk,below_cutoff
TBL.TO,Taiga Building Products,14.79505185506512,3.6,8.06,29.15,67,2.8,9.03,-85.76,-2.17,small,32868.0,pullback_protect;low_liquidity_today;stall_risk,below_cutoff
DRVN,Driven Brands,14.774477656813461,18.38,6.14,9.13,71,2.75,4.14,-15.61,-1.18,small,18807426.04,,below_cutoff
NEWT,NewtekOne,14.762827861533463,12.39,7.29,5.27,74,2.4,15.39,-37.62,-15.8,small,2687267.17,,below_cutoff
LNR.TO,Linamar,14.758641092179236,75.1,10.94,28.34,78,2.14,19.82,111.2,0.0,small,11026557.28,breakout_protect,below_cutoff
SYENS.BR,Syensqo,14.73915181075109,76.04,6.57,10.22,44,1.87,8.69,-58.56,-7.5,small,11862989.14,,below_cutoff
DJCO,Daily Journal Corp,14.723749126963748,466.8,12.35,5.04,64,3.77,8.05,-56.9,-20.87,small,24693719.35,breakout_protect;stall_risk,below_cutoff
AZZ,AZZ,14.722595766219051,116.44,9.89,25.67,68,2.26,25.13,25.23,-0.09,small,33910239.71,RS_trend_protect;breakout_protect;pullback_protect;stall_risk,below_cutoff
VHI.TO,Vitalhub,14.720588661600782,12.75,2.78,14.98,42,4.1,25.86,37.13,-8.67,small,4112512.5,RS_trend_protect,below_cutoff
H,Hyatt Hotels,14.695957730221359,144.78,1.84,3.3,58,2.38,9.11,-9.57,-12.68,small,154538894.6,pullback_protect;setup_protect,below_cutoff
ENLAY,Enel,14.69031770380035,9.25,1.89,18.16,64,1.09,4.61,-15.8,-2.01,small,2468593.75,,below_cutoff
SES.TO,Secure Waste Infrastructure,14.681511914241915,16.67,4.77,10.59,73,1.65,9.74,-55.38,-0.45,small,14401046.37,breakout_protect,below_cutoff
MTH,Meritage Homes,14.68144658149566,77.86,8.65,5.71,65,3.11,21.96,-32.14,-25.86,small,81101701.74,RS_trend_protect;pullback_protect;stall_risk,below_cutoff
